Date,Open,High,Low,Close,Adj Close,Volume
2023/04/28,"4,129.63","4,170.06","4,127.18","4,169.48","4,169.48","4,087,800,000"
2023/05/01,"4,166.79","4,186.92","4,164.12","4,167.87","4,167.87","3,321,370,000"
2023/05/02,"4,164.10","4,164.10","4,089.72","4,119.58","4,119.58","4,486,130,000"
2023/05/03,"4,122.25","4,148.30","4,088.86","4,090.75","4,090.75","4,246,510,000"
2023/05/04,"4,082.55","4,082.61","4,048.28","4,061.22","4,061.22","4,920,090,000"
2023/05/05,"4,084.73","4,147.02","4,084.73","4,136.25","4,136.25","4,186,270,000"
2023/05/08,"4,136.98","4,142.30","4,123.81","4,138.12","4,138.12","3,641,640,000"
2023/05/09,"4,124.25","4,130.35","4,116.65","4,119.17","4,119.17","3,810,140,000"
2023/05/10,"4,143.74","4,154.28","4,098.92","4,137.64","4,137.64","4,057,160,000"
2023/05/11,"4,132.24","4,132.80","4,109.29","4,130.62","4,130.62","3,752,900,000"
